name,team,battingStyle,bowlingStyle,playingRole,description
Avinash Pai(c),Gibraltar,Right hand Bat,Right arm Offbreak,,
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,
Faheem Ashraf,Pakistan,Left hand Bat,Right arm Medium,Bowling Allrounder,"Faheem Ashraf began his career with aspirations of fast bowling, but it is as a lower-order left-handed batsman - the good old-fashioned pinch hitter - that he has introduced himself in international cricket. He blazed away to an unbeaten 64 off 30 balls against a Bangladesh side playing its best cricket in 2016-17 to upstage them in a warm-up match just before the 2017 Champions Trophy. That innings wasn't a one-off for Ashraf, who has built a reputation for explosive hitting while batting with the tail; it especially impressed his mentor Tauseef Ahmed, who fast-tracked him to the international side."
Santiago Rossi,Argentina,Right hand Bat,Right arm Medium fast,Bowler,
Agustin Husain,Argentina,Right hand Bat,Right arm Offbreak,,
Ahmed Baladraf,Saudi Arabia,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,
Asa Tribe ,Jersey,Right hand Bat,Right arm Offbreak,Top order Batter,
Daniel Anefie,Ghana,Right hand Bat,Right arm Medium,Allrounder,
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder,
Arshdeep Singh,,Left hand Bat,Left arm Medium fast,Bowler,
Ravi Bishnoi,,Right hand Bat,Legbreak Googly,Bowler,
Pavandeep Singh,Malaysia,Right hand Bat,Slow Left arm Orthodox,Bowler,
Pranay Gheewala,Estonia,Right hand Bat,Right arm Medium,,
Abdur Rahman Sudais,Sweden,,,,
Jack Horrocks,Gibraltar,Right hand Bat,Left arm Medium,,
Shiv Gill,Luxembourg,Right hand Bat,Right arm Medium,,
Kaka Vimlesh,Romania,Right hand Bat,Right arm Medium,,
Romario Shepherd,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder,"Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann."
Saif Ahmad,Denmark,Left hand Bat,Right arm Offbreak,,
Ihsanullah,Pakistan,Right hand Bat,Right arm Fast,Bowler,
Edward Walker,Isle of Man,Right hand Bat,Right arm Medium,,
Samson Awiah(c),Ghana,Right hand Bat,Right arm Offbreak,Top order Batter,
Pascal Murungi,Uganda,Right hand Bat,Right arm Medium,,
Adrian Wright,Cayman Islands,Right hand Bat,Right arm Offbreak,,
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,Axar Patel IPL factfile
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,"Mustafizur Rahman is a left-arm pace bowler who came to Dhaka to try out for a fast-bowling camp in 2012, after he had impressed in an Under-17 tournament in Satkhira, some 300km from Dhaka. He got admitted to the BCB's pace foundation and soon caught the coaches' attention to make the Bangladesh Under-19 side for the 2014 World Cup. "
Ahmed Hassan ,Switzerland,Left hand Bat,,,
Mohammad Haris ,Pakistan,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,"Akeal Hosein was handed a chance to impress for West Indies in Bangladesh in early 2021 after several senior players opted out of the tour, but his opportunity had been a long time coming. "
Jaweed Sadran,,Right hand Bat,Right arm Medium,,
Umair Sharif,Saudi Arabia,Right hand Bat,,,
Muhammad Amir,Malaysia,Left hand Bat,Slow Left arm Orthodox,Batter,
Rohan Mustafa,United Arab Emirates,Left hand Bat,Right arm Offbreak,Top order Batter,"Pakistan-born offspinning allrounder Rohan Mustafa moved to Sharjah when he was ten and enrolled in that emirate's cricket academy. Despite losing his father, one of his cricket mentors, five years later, he stuck with the game, and was picked for UAE Under-19s in 2007, the year he also made his List A debut."
Nilansh Keswani,United Arab Emirates,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Rashid Khan(c),Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,
Isaac Danladi,Nigeria,Left hand Bat,Slow Left arm Orthodox,,
Elliot Miles,Jersey,Right hand Bat,Slow Left arm Orthodox,,
Shahbaz Ahmed,,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Edward Beard,Isle of Man,Right hand Bat,,,
Sittipong Hongsi,Thailand,Right hand Bat,Right arm Medium,,
Godfred Bakiweyem,Ghana,Right hand Bat,Right arm Medium,,
Riazat Ali Shah,Uganda,Right hand Bat,Right arm Medium,,
James Vifah,Ghana,Right hand Bat,Right arm Medium,,
Alishan Sharafu,United Arab Emirates,Right hand Bat,Right arm Medium,Opening Batter,
Henry Ssenyondo,Uganda,Right hand Bat,Slow Left arm Orthodox,,
Pedro Baron,Argentina,Right hand Bat,,,
Sivakumar,Cambodia,Right hand Bat,Right arm Offbreak,,
Faheem Ashraf,,Left hand Bat,Right arm Medium,Bowling Allrounder,"Faheem Ashraf began his career with aspirations of fast bowling, but it is as a lower-order left-handed batsman - the good old-fashioned pinch hitter - that he has introduced himself in international cricket. He blazed away to an unbeaten 64 off 30 balls against a Bangladesh side playing its best cricket in 2016-17 to upstage them in a warm-up match just before the 2017 Champions Trophy. That innings wasn't a one-off for Ashraf, who has built a reputation for explosive hitting while batting with the tail; it especially impressed his mentor Tauseef Ahmed, who fast-tracked him to the international side."
Andre Russell,West Indies,Right hand Bat,Right arm Fast,Allrounder,
Wesley Landman,Eswatini,Right hand Bat,Right arm Medium,,
Jonny Bairstow,England,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
Tarun Sandeep,Eswatini,,,,
Kiplin Doriga ,Papua New Guinea,Right hand Bat,,Wicketkeeper Batter,
Didier Ndikubwimana(c) ,Rwanda,Right hand Bat,,Wicketkeeper Batter,"Wicketkeeper-batter Didier Ndikubwimana is one of the youngest captains in international cricket, leading Rwanda at the age of 19. He had already played over 30 T20Is by then. In his first match in charge, against Tanzania in August 2023, he scored his maiden international half-century, 69 off 46 balls as opener in a seven-wicket win. In their next assignment, the West Africa Trophy in October that year, Rwanda finished second, winning four and tying one of their ten matches."
Sean Williams(c),Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,"Sean Williams is a bold, dynamic left-hand batsman, and one of the most striking features about his batting is his proficiency at the reverse-sweep. That shot has occupied a proud position in the repertoire of some of Zimbabwe's finest batsmen: legend has it that Dave Houghton brought up both his hundred and his double with reverse-sweeps in the course of his 266 against Sri Lanka, and Andy Flower used the stroke in an almost profligate manner in many of his memorable innings. Williams is as adept at the stroke as either of these two elder statesmen of Zimbabwean cricket, which he proved during the course of his maiden Test century against New Zealand in Bulawayo in July 2016. Equally astounding was his resolve to overcome sickness and high fever to battle on for over three hours during the course of that knock, in a game in which Zimbabwe were floundering."
Akshay Naidoo,Cayman Islands,Right hand Bat,Right arm Offbreak,,
Rovman Powell(c),West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter,"A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. "
Afsar Zazai,Afghanistan,Right hand Bat,,Wicketkeeper Batter,"Afsar Zazai's talent as a wicketkeeper-batsman was identified early and he was just 16 years old when he was included in Afghanistan's squad for the 2010 Under-19 World Cup. He'd already been on the age group radar for a while, having played for the Under-17 side at the Asian Cricket Council Challenge Cup, and had assured his place in the Under-19 squad with nine dismissals in six games at the U19 World Cup qualifiers in 2009. A developing talent, he went to his second Youth World Cup in 2012, the same year he made his First Class debut for the full Afghan national side in the Intercontinental Cup."
Ravi Panchal,Spain,Right hand Bat,Right arm Medium fast,,
Oliver Nightingale,Guernsey,Right hand Bat,Right arm Medium,Allrounder,
Lucky Ali,Denmark,Left hand Bat,Slow Left arm Orthodox,,
Delray Rawlins,Bermuda,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,"Delray Rawlins announced himself as a future star with a series of eye-catching innings in Sussex's T20 middle-order, and his clean hitting, useful fingerspin and superb fielding make him a desirable all-round package across formats. "
AtifUrRehman,Saudi Arabia,Right hand Bat,Right arm Medium,,
Iqbal Hossain,Austria,Right hand Bat,Right arm Offbreak,,
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Phil Salt's fearless ball-striking at the top of the Sussex order earned him attention from across the global T20 circuit and a maiden England call-up in 2019, though he was made to wait until 2021 for his debut when he performed a passable impression of Jason Roy in the Covid-hit ODI series against Pakistan."
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder,"Allrounder, and Twitter star, Jimmy Neesham went from the brink of retirement from cricket to almost delivering New Zealand the 2019 World Cup. In the tournament he was outstanding with bat and ball then in the final against England claimed three wickets and produced the final-ball run out to tie the scores after 50 overs. He was entrusted with the bat in the Super Over and scored 13 off 5 balls including a huge six off Jofra Archer. He was at the non-striker's end for the last ball when Martin Guptill was run out coming back for a second run that would have won New Zealand the World Cup. "
Huzaif Yousuf,Bulgaria,Right hand Bat,Right arm Medium,,
Ramiro Escobar ,Argentina,Right hand Bat,,,
Arslan Amjad(c),Estonia,Right hand Bat,Right arm Medium,,
Julian Freyone,Gibraltar,Right hand Bat,Right arm Medium,,
Martin DaleBradley,Guernsey,Right hand Bat,Right arm Offbreak,,
Trevor Gwandu,Zimbabwe,Right hand Bat,Right arm Medium,Bowler,
Shadab Khan(c),Pakistan,Right hand Bat,Legbreak,Allrounder,"A prodigious turner of the ball, teenage legspinner Shadab Khan burst onto cricket's collective consciousness only during the 2016/17 PSL season. His ability to take wickets while maintaining an excellent economy rate saw him talked up as that most frequent of phenomena: an exciting Pakistani prospect. Shadab is not afraid of bowling the wrong'un either; his only criticism might be that he bowls it a bit too often, but that hasn't helped batsmen pick it up any better, either out of the hand or off the pitch. He's also a useful lower-order right-handed batsman, something that has occasionally been witnessed during his domestic career."
Zubaid Akbari,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,
Alessandro Morris,Cayman Islands,Right hand Bat,Right arm Offbreak,,
Yusuf Ebrahim,Panama,Right hand Bat,Right arm Medium,,
Abhik Patwa(c),Tanzania,Right hand Bat,Right arm Offbreak,Top order Batter,
Joseph Burrows,Isle of Man,Left hand Bat,Slow Left arm Orthodox,Bowler,
Hamza Khan,Rwanda,Right hand Bat,,,
Musa Shaheen,Denmark,Right hand Bat,Right arm Medium fast,,
Anish Prasad,Cambodia,Right hand Bat,Right arm Medium,,
Taranjit Bharaj(c) ,Denmark,Right hand Bat,Right arm Offbreak,,
Nicolaj Laegsgaard,Denmark,Left hand Bat,Slow Left arm Orthodox,,
Patrick Hatchman,Gibraltar,Right hand Bat,Right arm Medium,,
Sanju Samson,India,Right hand Bat,,Wicketkeeper Batter,
Nick Greenwood,Jersey,Right hand Bat,,,
Litton Das ,Bangladesh,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Litton Das made his way into the Bangladesh senior sides following his exploits for Abahani in the Dhaka Premier League, and Rangpur Division in the National Cricket League in 2014-15, where he was the top scorer. "
Tanveer Sangha,Australia,Right hand Bat,Legbreak,Bowler,
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler,"Even before he was anywhere near making his international debut, Taskin Ahmed became an internet sensation. A video of his spell against England Under-19s in 2012 found its way to Youtube, and the sight of a Bangladeshi fast bowler ripping it past batsman and hitting the wicketkeeper's gloves quite hard and high made people curious."
Mohammad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
Will Jacks,England,Right hand Bat,Right arm Offbreak,Batting Allrounder,"It was a quirk of circumstance that Will Jacks' first standout performance as an England player was a six-wicket haul in a Test match rather than a characteristically dominant white-ball innings. Jacks became the first England debutant spinner since 1993 to claim a five-for on Test debut in 2022, setting up a famous win in Rawalpindi. Not only was it his maiden first-class five-for, he was not even meant to be in the side: he was a late change to the side before the toss with Ben Foakes ruled out through illness."
Rexford Bakum,Ghana,Right hand Bat,Right arm Medium,Allrounder,
Finn Allen,New Zealand,Right hand Bat,,Top order Batter,
Kiatiwut Suttisan,Thailand,Right hand Bat,Right arm Medium fast,,
Samson Awiah,Ghana,Right hand Bat,Right arm Offbreak,Top order Batter,
Afsar Zazai ,Afghanistan,Right hand Bat,,Wicketkeeper Batter,"Afsar Zazai's talent as a wicketkeeper-batsman was identified early and he was just 16 years old when he was included in Afghanistan's squad for the 2010 Under-19 World Cup. He'd already been on the age group radar for a while, having played for the Under-17 side at the Asian Cricket Council Challenge Cup, and had assured his place in the Under-19 squad with nine dismissals in six games at the U19 World Cup qualifiers in 2009. A developing talent, he went to his second Youth World Cup in 2012, the same year he made his First Class debut for the full Afghan national side in the Intercontinental Cup."
Spencer Johnson,Australia,Left hand Bat,Left arm Fast,Bowler,"Spencer Johnson's rise through the game has been remarkable. He only made his domestic T20 debut in early 2023, at the age of 27, and has now become a BBL force, has Australian caps under his belt and a million-dollar IPL deal."
Babar Hayat,Hong Kong,Right hand Bat,Right arm Medium,Batter,
Joost Mees(c) ,Luxembourg,Right hand Bat,,,
Oscar Manishimwe,Rwanda,Right hand Bat,,,
Etienne Beukes,Cambodia,Right hand Bat,Right arm Medium,,
Ali Raza,Belgium,Right hand Bat,,,
Khizar Hayat,Malaysia,Right hand Bat,Right arm Offbreak,Bowler,
Isaac Damarell ,Guernsey,Left hand Bat,,,
Varun Thamotharam,Malta,Left hand Bat,Left arm Medium fast,,
Ish Sodhi,New Zealand,Right hand Bat,Legbreak,Bowler,"There is little in Ish Sodhi's statistics to suggest he is an international-quality legspinner, but New Zealand's selectors have seen enough in his aggressive approach and keen attitude to hand him a Test debut after only one full season of first-class cricket. Known chiefly for the turn he generates and the flight he fearlessly trusts, Sodhi's journey to top-level cricket has been a triumph of determination over significant odds."
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter,"Nazmul Hossain Shanto emerged from an unusual source in Bangladesh cricket - the schools. A double-century in a school one-day match in Rajshahi grabbed the attention of age-group scouts, who quickly drafted the left-hander into Bangladesh's Under-17s. Soon, he graduated to the Under-19s in 2013, and went on to play two World Cups at that level, in 2014 and 2016."
Lorne Burns,Spain,Right hand Bat,Legbreak Googly,,
Gagandeep Singh,Bulgaria,Right hand Bat,Right arm Medium,,
Gulsan Jha,Nepal,Left hand Bat,Right arm Medium,Bowler,
Gulbadin Naib(c),Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder,"Gulbadin Naib's first love in sport was amateur bodybuilding, not cricket. When he eventually did take the game up, however, he progressed quickly through Afghanistan's age-group sides as a batting allrounder and was the youngest member of the team that won the Division Five tournament in 2008 - the first stepping stone to the full world stage."
Ben Lister,New Zealand,Right hand Bat,Left arm Fast medium,Bowler,
Delray Rawlins(c),Bermuda,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,"Delray Rawlins announced himself as a future star with a series of eye-catching innings in Sussex's T20 middle-order, and his clean hitting, useful fingerspin and superb fielding make him a desirable all-round package across formats. "
Hiri Hiri,Papua New Guinea,Right hand Bat,Right arm Offbreak,Middle order Batter,
Harmanjot Singh,Germany,Right hand Bat,Right arm Medium,,
Nemanja Zimonjic,Serbia,Right hand Bat,Right arm Medium,,
Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Mohammad Nawaz started out in cricket at the age of 14 as a left-arm medium-fast bowler and a middle-order batsman. An all-round performance of 60 runs and a four-for for Rawalpindi against Sialkot in an inter-region Under-16 tournament in 2008 earned him a place in the Pakistan side for the International Under-15 Championship in the West Indies. On the slow pitches of the Caribbean, he changed his bowling style to left-arm spin and transformed into a spin-bowling allrounder, with help from  coach Ameer Akbar and team manager Haroon Rashid. "
Martin Akayezu,Rwanda,Right hand Bat,Right arm Medium,,
Craig Ervine,Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter,"Few people in Zimbabwe cricket circles were surprised when Craig Ervine found his way into Zimbabwe colours. A stylish left-handed middle-order batsman, Ervine hails from a family with a strong cricketing tradition - his father and uncle both played first-class cricket, albeit briefly, in the late 1970s, his older brother Sean had a promising fledgling international career with Zimbabwe before heading to England to become a reliable cog in Hampshire's middle order, and even younger brother Ryan has turned out for the Southern Rocks franchise on occasion."
Sikandar Raza,Zimbabwe,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,"Sikandar Raza's story isn't that of your everyday international cricketer. He is not a teenage prodigy, nor is he someone who had a burning ambition to play for his country. He journeyed through from his adolescence to adulthood and stumbled upon the sport he sometimes played as a child, only to discover he is quite good at it."
Muhaddis Muhaddis,Indonesia,Right hand Bat,Legbreak,,
Zahir Khan,Afghanistan,Left hand Bat,Left arm Wrist spin,Bowler,
Karim Janat,Afghanistan,Right hand Bat,Right arm Medium,Bowling Allrounder,
Temba Bavuma,South Africa,Right hand Bat,Right arm Medium,Middle order Batter,"From the same street in Langa, a township outside Cape Town, where Thami Tsolekile and Malusi Siboto were raised, came Temba Bavuma. Unlike the wicketkeeper-batsman and medium-pacer, Bavuma is a specialist batsman and the first black African batsman picked in South Africa's Test squad. "
Isa Zaroo,Bulgaria,Right hand Bat,Right arm Medium,,
Matthew Short,Australia,Right hand Bat,Right arm Offbreak,Top order Batter,
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler,
Zappy Bimenyimana,Rwanda,Right hand Bat,Right arm Medium,,
Dimo Nikolov(c),Bulgaria,Right hand Bat,Right arm Medium,,
Eric Dusingizimana,Rwanda,Right hand Bat,,Opening Batter,
Darshit Patankar,Malta,Right hand Bat,,,
Kabua Morea,Papua New Guinea,Right hand Bat,Left arm Medium,Bowler,
Luke Wood,England,Left hand Bat,Left arm Fast medium,Bowler,"Luke Wood, a left-arm fast bowler with the priceless ability to swing the ball back into right-handers, joined Lancashire at the end of the 2019 season in search of a more regular first-team place after spending time in and out of the Nottinghamshire side. "
Muhammad Wafiq,Malaysia,Left hand Bat,Left arm Medium fast,,
Dawid Malan,England,Left hand Bat,Legbreak,Top order Batter,"Dawid Malan made a striking entry into international cricket in a T20I in Cardiff in 2017, demolishing South Africa's attack with 78 from 44 balls. He deposited the second ball, from Chris Morris, over midwicket for six and never looked back."
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder,"A stylish middle-order batter who also props up Sri Lanka's mediocre batting line-up with fighting knocks, de Silva is a treat to watch. "
Matthew Breetzke,South Africa,Right hand Bat,,Batter,
Ben Fitchet,Guernsey,Right hand Bat,Legbreak,,
Tayyab Tahir,Pakistan,Right hand Bat,Legbreak Googly,Middle order Batter,
Tymal Mills,England,Right hand Bat,Left arm Fast,Bowler,"Tymal Mills won an England recall for the 2021 T20 World Cup after four-and-a-half years in the international wilderness, during which time regular injuries had threatened his career. Mills, one of the most explosive fast bowlers in English cricket and an innovative thinker about the short-form game, was diagnosed with a congenital back condition in 2015 - his spinal cord and vertebrae are unusually close together and bowling fast too often can agitate his spinal cord - which consigned him to a career as a T20 specialist but he embraced life on the franchise circuit."
Delrick Varghese,Bulgaria,Right hand Bat,Right arm Medium fast,,
Abdullah Shafique,Pakistan,Right hand Bat,Right arm Offbreak,Top order Batter,
Mahesh Tambe,Finland,Right hand Bat,Right arm Medium,,
Zak Tribe,Jersey,Right hand Bat,Legbreak Googly,Top order Batter,
Aslam Khan,Malaysia,Right hand Bat,,,
Camate Roposo,Mozambique,Right hand Bat,Right arm Medium fast,,
Matthew Wade(c) ,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,"It has been a career of reinvention for Matthew Wade, who went from Test wicketkeeper to specialist middle-order batter to T20I World Cup-winning wicketkeeper-finisher, via a prolific run in domestic cricket when it appeared his international days were over."
Aman Desai ,Singapore,Left hand Bat,,Middle order Batter,
Simon Ssesazi,Uganda,Left hand Bat,Right arm Slow,,
Reginald Nehonde,Botswana,Right hand Bat,Right arm Offbreak,,"Reginald Nehonde is a right-hand batsman and offspinner who is part of the Zimbabwe squad to the 2008 Under-19 World Cup in Malaysia. He started playing the game at the age of 11, and has played for Zimbabwe U-14s and U-16s. A fan of Ricky Ponting, he is also interested in becoming a sociologist. 
Cricinfo Staff February 2008
"
Karan KC,Nepal,Right hand Bat,Right arm Fast,Allrounder,"Broad-shouldered, barrel-chested fast bowler Karan KC has been incisive for Nepal through their brief history as an international cricket team, in a variety of conditions both at home and away, and no other pace bowler has produced more five-wicket hauls in both List A and T20 cricket. His consistency as a wicket-taker has made Nepal far less reliant on their spinners to produce winning results."
Shreyas Iyer,India,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,
Innocent Kaia,Zimbabwe,Right hand Bat,Legbreak,Opening Batter,
